Strong tree : 241 :[Grapple, Build hidey-hole, null, null, null]
Yew tree : 8512 :[Check-health, Inspect, Clear, Guide, null]
Yew tree : 8513 :[Chop down, Inspect, Clear, Guide, null]
Yew tree stump : 8514 :[Clear, Inspect, null, Guide, null]
Holly tree : 8708 :[null, null, null, null, null]
Hawthorn tree : 8709 :[null, null, null, null, null]
Tree : 8742 :[Pass, null, null, null, null]
Tree : 8743 :[Pass, null, null, null, null]
Apple Tree : 8842 :[null, null, null, null, null]
Apple Tree : 8843 :[null, null, null, null, null]
Tree : 8973 :[null, null, null, null, null]
Tree : 8974 :[null, null, null, null, null]
Tree stump : 9035 :[null, null, null, null, null]
Tree stump : 9037 :[null, null, null, null, null]
White Tree patch : 9210 :[null, Inspect, null, null, null]
White Tree patch : 9211 :[Rake, Inspect, null, null, null]
White Tree patch : 9212 :[Rake, Inspect, null, null, null]
White Tree patch : 9213 :[Rake, Inspect, null, null, null]
White Tree patch : 9214 :[null, null, null, null, null]
White Tree patch : 9215 :[null, null, null, null, null]
White Tree patch : 9216 :[null, null, null, null, null]
White Tree patch : 9217 :[null, null, null, null, null]
White Tree patch : 9218 :[null, null, null, null, null]
White Tree patch : 9219 :[Pick-fruit, null, null, null, null]
White Tree patch : 9220 :[Pick-fruit, null, null, null, null]
White Tree patch : 9221 :[Pick-fruit, null, null, null, null]
White Tree patch : 9222 :[Pick-fruit, null, null, null, null]
White tree : 9263 :[Interact, null, null, null, null]
Swamp tree : 9354 :[Chop down, null, null, null, null]
Swamp tree : 9355 :[Chop down, null, null, null, null]
Swamp tree : 9366 :[Chop down, null, null, null, null]
Swamp tree : 9385 :[null, null, null, null, null]
Swamp tree : 9387 :[Chop down, null, null, null, null]
Swamp tree : 9388 :[Chop down, null, null, null, null]
Tree stump : 9389 :[null, null, null, null, null]
Tree stump : 9661 :[null, null, null, null, null]
Fallen tree : 9663 :[null, null, null, null, null]
Tree : 10081 :[null, null, null, null, null]
Tree : 10082 :[null, null, null, null, null]
Palm tree : 10139 :[null, null, null, null, null]
Palm tree : 10140 :[null, null, null, null, null]
Palm tree : 10141 :[null, null, null, null, null]
Tree stump : 10951 :[null, null, null, null, null]
Tree stump : 11059 :[null, null, null, null, null]
Dead tree : 11112 :[null, null, null, null, null]
Young tree : 11394 :[Nurture, Inspect, null, null, null]
Young tree : 11395 :[Nurture, Inspect, null, null, null]
Evil tree : 11434 :[Chop, Light fire, Inspect, null, null]
Evil tree : 11435 :[Chop, Light fire, Inspect, null, null]
Evil tree : 11436 :[Chop, Light fire, Inspect, null, null]
Evil oak tree : 11437 :[Chop, Light fire, Inspect, null, null]
Evil oak tree : 11438 :[Chop, Light fire, Inspect, null, null]
Evil oak tree : 11439 :[Chop, Light fire, Inspect, null, null]
Evil willow tree : 11440 :[Chop, Light fire, Inspect, null, null]
Evil willow tree : 11441 :[Chop, Light fire, Inspect, null, null]
Evil willow tree : 11442 :[Chop, Light fire, Inspect, null, null]
Evil maple tree : 11443 :[Chop, Light fire, Inspect, null, null]
Evil maple tree : 11444 :[Chop, Light fire, Inspect, null, null]
Tree stump : 11855 :[null, null, null, null, null]
Tree stump : 11862 :[null, null, null, null, null]
Tree stump : 11864 :[null, null, null, null, null]
Swamp tree : 11865 :[null, null, null, null, null]
Dead tree : 11866 :[Chop down, null, null, null, null]
Evil maple tree : 11915 :[Chop, Light fire, Inspect, null, null]
Evil yew tree : 11916 :[Chop, Light fire, Inspect, null, null]
Evil yew tree : 11917 :[Chop, Light fire, Inspect, null, null]
Evil yew tree : 11918 :[Chop, Light fire, Inspect, null, null]
Evil magic tree : 11919 :[Chop, Light fire, Inspect, null, null]
Evil magic tree : 11920 :[Chop, Light fire, Inspect, null, null]
Evil magic tree : 11921 :[Chop, Light fire, Inspect, null, null]
Evil elder tree : 11922 :[Chop, Light fire, Inspect, null, null]
Evil elder tree : 11923 :[Chop, Light fire, Inspect, null, null]
Evil elder tree : 11924 :[Chop, Light fire, Inspect, null, null]
Tree stump : 12001 :[null, null, null, null, null]
Tree stump : 12004 :[null, null, null, null, null]
Tree stump : 12007 :[null, null, null, null, null]
Old tree : 12550 :[null, null, null, null, null]
Old tree : 12551 :[null, null, null, null, null]
Old tree : 12552 :[null, null, null, null, null]
Old tree : 12553 :[null, null, null, null, null]
Tree : 12559 :[null, null, null, null, null]
Tree : 12560 :[null, null, null, null, null]
Tropical tree : 12570 :[Climb, null, null, null, null]
Tropical tree : 12571 :[null, null, null, null, null]
Tropical tree : 12579 :[null, null, null, null, null]
Tropical tree : 12580 :[null, null, null, null, null]
Banana tree : 12606 :[Pick, null, null, null, null]
Banana tree : 12607 :[Pick, null, null, null, null]
Red Banana Tree : 12608 :[null, null, null, null, null]
Red Banana Tree : 12609 :[Pick, null, null, null, null]
Tropical tree : 12618 :[Climb-down, null, null, null, null]
Tropical tree : 12627 :[null, null, null, null, null]
Fallen tree : 12713 :[null, null, null, null, null]
Fallen tree : 12714 :[null, null, null, null, null]
Fallen tree : 12715 :[null, null, null, null, null]
Dead tree : 12732 :[null, null, null, null, null]
Tree stump : 12733 :[null, null, null, null, null]
Tree Stump : 12894 :[null, null, null, null, null]
Tree : 12895 :[null, null, null, null, null]
Dead tree : 13411 :[null, null, null, null, Remove]
Tree : 13412 :[null, null, null, null, Remove]
Oak tree : 13413 :[null, null, null, null, Remove]
Willow tree : 13414 :[null, null, null, null, Remove]
Maple tree : 13415 :[null, null, null, null, Remove]
Yew tree : 13416 :[null, null, null, null, Remove]
Magic tree : 13417 :[null, null, null, null, Remove]
Dead Tree : 13418 :[null, null, null, null, Remove]
Tree : 13419 :[null, null, null, null, Remove]
Oak Tree : 13420 :[null, null, null, null, Remove]
Willow Tree : 13421 :[null, null, null, null, Remove]
Yew tree : 13422 :[null, null, null, null, Remove]
Maple tree : 13423 :[null, null, null, null, Remove]
Magic tree : 13424 :[null, null, null, null, Remove]
Swamp tree : 13843 :[null, null, null, null, null]
Swamp tree : 13844 :[null, null, null, null, null]
Swamp tree : 13845 :[Lasso, null, null, null, null]
Swamp tree : 13847 :[Trim, null, null, null, null]
Swamp tree : 13848 :[Trim, null, null, null, null]
Swamp tree : 13849 :[Trim, null, null, null, null]
Swamp tree : 13850 :[Trim, null, null, null, null]
Tree : 14308 :[Chop down, null, null, null, null]
Tree : 14309 :[Chop down, null, null, null, null]
Tree : 14521 :[null, null, null, null, null]
Tree : 14571 :[null, null, null, null, null]
Tree : 14600 :[null, null, null, null, null]
Tree : 14642 :[null, null, null, null, null]
Tree : 14738 :[null, null, null, null, null]
Fallen tree : 14835 :[null, null, null, null, null]
Fallen tree : 14836 :[null, null, null, null, null]
Fallen tree : 14837 :[null, null, null, null, null]
Fallen tree : 14838 :[null, null, null, null, null]
Fallen tree : 14839 :[Take-rewards, null, null, null, null]
Fallen tree : 14840 :[Take-rewards, null, null, null, null]
Fallen tree : 14841 :[Take-rewards, null, null, null, null]
Fallen tree : 14842 :[Take-rewards, null, null, null, null]
Fallen tree : 14843 :[Take-rewards, null, null, null, null]
Fallen tree : 14844 :[Take-rewards, null, null, null, null]
Fallen tree : 14845 :[Take-rewards, null, null, null, null]
Big Tree space : 15362 :[null, null, null, null, Build]
Tree space : 15363 :[null, null, null, null, Build]
Tree trunk : 15488 :[null, null, null, null, null]
Tree : 15489 :[null, null, null, null, null]
Tropical tree : 15778 :[null, null, null, null, null]
Tropical tree : 15779 :[null, null, null, null, null]
Tropical tree : 15780 :[null, null, null, null, null]
Tropical tree : 15781 :[null, null, null, null, null]
Jungle Tree : 15948 :[Cut-down, null, null, null, null]
Jungle Tree : 15949 :[null, null, null, null, null]
Jungle Tree : 15950 :[null, null, null, null, null]
Jungle Tree : 15951 :[Cut-down, null, null, null, null]
Jungle Tree : 15952 :[null, null, null, null, null]
Jungle Tree : 15953 :[null, null, null, null, null]
Jungle Tree : 15954 :[Cut-down, null, null, null, null]
Jungle Tree : 15955 :[null, null, null, null, null]
Jungle Tree : 15956 :[null, null, null, null, null]
Tropical tree : 15957 :[null, null, null, null, null]
Tropical tree : 15958 :[null, null, null, null, null]
Tropical tree : 15959 :[null, null, null, null, null]
Bitternut Tree : 15961 :[null, null, null, null, null]
Bitternut Tree : 15964 :[null, null, null, null, null]
Bitternut Tree : 15965 :[null, null, null, null, null]
Bitternut Tree : 15966 :[null, null, null, null, null]
Bitternut Tree : 15967 :[null, null, null, null, null]
Bitternut Tree : 15968 :[null, null, null, null, null]
Bitternut Tree : 15969 :[null, null, null, null, null]
Scrapey Tree : 15970 :[Cut-down, null, null, null, null]
Scrapey Tree : 15971 :[null, null, null, null, null]
Tree : 16265 :[Chop-down, null, null, null, null]
Tree Stump : 16266 :[null, null, null, null, null]
Dream tree : 16604 :[Chop, null, null, null, null]
Dream Tree stump : 16605 :[null, null, null, null, null]
Windswept Tree : 16639 :[null, null, null, null, null]
Strong Tree : 17036 :[null, null, null, null, null]
Strong Tree : 17037 :[null, null, null, null, null]
Strong Tree : 17038 :[null, null, null, null, null]
Crossbow Tree : 17056 :[null, null, null, null, null]
Crossbow Tree : 17057 :[null, null, null, null, null]
Crossbow Tree : 17058 :[null, null, null, null, null]
Crossbow Tree : 17059 :[null, null, null, null, null]
Crossbow Tree : 17060 :[null, null, null, null, null]
Crossbow Tree : 17061 :[null, null, null, null, null]
Crossbow Tree : 17062 :[Grapple, null, null, null, null]
Crossbow Tree : 17063 :[null, null, null, null, null]
Strong Tree : 17074 :[Grapple, null, null, null, null]
Strong Tree : 17075 :[Grapple, null, null, null, null]
Strong Tree : 17076 :[Grapple, null, null, null, null]
Tree stump : 17493 :[null, null, null, null, null]
Tree : 17857 :[null, null, null, null, null]
Tree : 17928 :[null, null, null, null, null]
Windswept tree : 18137 :[Chop down, null, null, null, null]
Bloodwood tree : 18493 :[null, null, null, null, null]
Tree branch : 18836 :[null, null, null, null, null]
Tree : 18862 :[null, null, null, null, null]
Wintumber tree : 19038 :[Dig-up, null, null, null, null]
Tree : 19093 :[null, null, null, null, null]
Bloodwood tree : 19153 :[Chop down, null, null, null, null]
Tree : 19165 :[null, null, null, null, null]
Tree : 19166 :[null, null, null, null, null]
Tree : 19167 :[null, null, null, null, null]
Tree : 19172 :[null, null, null, null, null]
Tree : 19370 :[null, null, null, null, null]
Tree : 19446 :[null, null, null, null, null]
Young tree : 19650 :[Dismantle, Investigate, null, null, null]
Young tree : 19652 :[Set-trap, null, null, null, null]
Young tree : 19653 :[null, null, null, null, null]
Young tree : 19662 :[Dismantle, Investigate, null, null, null]
Young tree : 19663 :[Set-trap, null, null, null, null]
Young tree : 19664 :[null, null, null, null, null]
Young tree : 19670 :[Dismantle, Investigate, null, null, null]
Young tree : 19671 :[Set-trap, null, null, null, null]
Young tree : 19672 :[null, null, null, null, null]
Young tree : 19678 :[Dismantle, Investigate, null, null, null]
Young tree : 19679 :[Set-trap, null, null, null, null]
Young tree : 19680 :[null, null, null, null, null]
Tree : 19731 :[null, null, null, null, null]
Tree : 19755 :[null, null, null, null, null]
Tree : 19765 :[null, null, null, null, null]
Tree : 19773 :[null, null, null, null, null]
Tree : 19795 :[null, null, null, null, null]
Tree : 19801 :[null, null, null, null, null]
Tree : 19815 :[null, null, null, null, null]
Sturdy tree : 20711 :[Climb-down, null, null, null, null]
Sturdy tree : 20715 :[Investigate, null, null, null, null]
Dead tree : 20750 :[Climb-through, null, null, null, null]
Dead tree : 20751 :[Search, null, null, null, null]
Tree Stump : 21274 :[null, null, null, null, null]
Swamp tree : 21357 :[null, null, null, null, null]
Slimy tree : 21426 :[null, null, null, null, null]
Banana Tree : 21550 :[Search, null, null, null, null]
Sq'irk tree : 21766 :[Pick-fruit, null, null, null, null]
Sq'irk tree : 21767 :[Pick-fruit, null, null, null, null]
Sq'irk tree : 21768 :[Pick-fruit, null, null, null, null]
Sq'irk tree : 21769 :[Pick-fruit, null, null, null, null]
Tree stump : 23054 :[null, null, null, null, null]
Dead tree : 23381 :[null, null, null, null, null]
Dying tree : 24168 :[Chop down, null, null, null, null]
Dying tree Stump : 24169 :[null, null, null, null, null]
Bloodwood tree : 24263 :[null, null, null, null, null]
Tree : 25169 :[null, null, null, null, null]
Tree : 25174 :[null, null, null, null, null]
Tree : 25183 :[null, null, null, null, null]
Tree : 25184 :[null, null, null, null, null]
Tree stump : 25186 :[null, null, null, null, null]
A tropical tree : 25191 :[null, null, null, null, null]
Tree stump : 26200 :[Inspect, null, null, null, null]
Tree : 26201 :[Inspect, null, null, null, null]
Tree stump : 26203 :[Inspect, null, null, null, null]
Tree : 26204 :[Inspect, null, null, null, null]
Warped tree roots : 26713 :[Enter, null, null, null, null]
Warped tree roots : 26714 :[Enter, null, null, null, null]
Warped tree roots : 26715 :[Enter, null, null, null, null]
Parted tree roots : 26716 :[null, null, null, null, null]
Parted tree roots : 26717 :[null, null, null, null, null]
Warped tree roots : 26718 :[null, null, null, null, null]
Parted tree roots : 26719 :[null, null, null, null, null]
Spirit tree : 26720 :[Talk-to, null, null, null, null]
Spirit tree : 26721 :[Talk-to, Teleport, null, null, null]
Spirit tree : 26722 :[null, null, null, null, null]
Tree : 26724 :[Grapple, null, null, null, null]
Tree : 26725 :[Grapple, null, null, null, null]
Tree : 27089 :[null, null, null, null, null]
Tree stump : 27200 :[null, null, null, null, null]
Sullen tree : 27262 :[null, null, null, null, null]
Bleak tree : 27263 :[null, null, null, null, null]
Foul tree : 27264 :[null, null, null, null, null]
Wretched tree : 27265 :[null, null, null, null, null]
Mushroom tree : 27341 :[null, null, null, null, null]
Mushroom tree : 27342 :[null, null, null, null, null]
Mushroom tree : 27343 :[null, null, null, null, null]
Slimy tree : 28455 :[null, null, null, null, null]
Young tree : 28563 :[Dismantle, Investigate, null, null, null]
Young tree : 28564 :[Set-trap, null, null, null, null]
Young tree : 28565 :[null, null, null, null, null]
Eucalyptus tree : 28951 :[Chop down, null, null, null, null]
Eucalyptus tree : 28952 :[Chop down, null, null, null, null]
Eucalyptus tree : 28953 :[Chop down, null, null, null, null]
Achey tree : 29088 :[null, null, Chop, null, null]
Achey tree : 29089 :[null, null, Chop, null, null]
Achey tree : 29090 :[null, null, null, null, null]
Tree : 30795 :[null, null, null, null, null]
Tree stump : 31057 :[null, null, null, null, null]
Tree Stump : 31296 :[null, null, null, null, null]
Dead tree : 32294 :[Chop down, null, null, null, null]
Tree branch : 35970 :[Climb, null, null, null, null]
Tree stump : 36510 :[null, null, null, null, null]
Tree : 36765 :[null, null, null, null, null]
Tree stump : 36891 :[null, null, null, null, null]
Dead tree : 37334 :[null, null, null, null, null]
Tree : 37368 :[null, null, null, null, null]
Tropical tree : 37393 :[null, null, null, null, null]
Palm tree : 37394 :[null, null, null, null, null]
Tree : 37477 :[Chop down, null, null, null, null]
Tree : 37478 :[Chop down, null, null, null, null]
Dead tree : 37481 :[Chop down, null, null, null, null]
Dead tree : 37482 :[Chop down, null, null, null, null]
Dead tree : 37483 :[Chop down, null, null, null, null]
Tree : 37652 :[Chop down, null, null, null, null]
Tree stump : 37653 :[null, null, null, null, null]
Tree Stump : 37751 :[null, null, null, null, null]
Cursed magic tree : 37821 :[Chop down, null, null, null, null]
Tree Stump : 37822 :[null, null, null, null, null]
Magic tree : 37823 :[Chop down, null, null, null, null]
Tree Stump : 37824 :[null, null, null, null, null]
Fruit tree patch : 38019 :[Inspect, null, null, null, null]
Avocado tree : 38051 :[Inspect, null, null, null, null]
Dead avocado tree : 38052 :[Inspect, null, null, null, null]
Lemon tree : 38053 :[Inspect, null, null, null, null]
Dead lemon tree : 38054 :[Inspect, null, null, null, null]
Mango tree : 38055 :[Inspect, null, null, null, null]
Dead mango tree : 38056 :[Inspect, null, null, null, null]
Pear tree : 38057 :[Inspect, null, null, null, null]
Dead pear tree : 38058 :[Inspect, null, null, null, null]
Plum tree : 38059 :[Inspect, null, null, null, null]
Dead plum tree : 38060 :[Inspect, null, null, null, null]
Quince tree : 38061 :[Inspect, null, null, null, null]
Dead quince tree : 38062 :[Inspect, null, null, null, null]
Tree : 38379 :[null, null, null, null, null]
Tree : 38380 :[null, null, null, null, null]
Dead tree : 38382 :[null, null, null, null, null]
Dead tree : 38383 :[null, null, null, null, null]
Tree stump (level 20 approx.) : 38640 :[Cast, null, null, null, null]
Tree stump (level 20 approx.) : 38645 :[null, null, null, null, null]
Gnarly tree : 38689 :[null, null, null, null, null]
Tree : 38760 :[Chop down, null, null, null, null]
Tree : 38782 :[Chop down, null, null, null, null]
Tree : 38783 :[Chop down, null, null, null, null]
Tree : 38784 :[Chop down, null, null, null, null]
Tree : 38785 :[Chop down, null, null, null, null]
Tree : 38786 :[Chop down, null, null, null, null]
Tree : 38787 :[Chop down, null, null, null, null]
Tree : 38788 :[Chop down, null, null, null, null]
Tree : 38789 :[null, null, null, null, null]
Tree : 38791 :[null, null, null, null, null]
Tree : 38792 :[null, null, null, null, null]
Tree : 38795 :[null, null, null, null, null]
Tree : 38805 :[null, null, null, null, null]
Tree : 38842 :[null, null, null, null, null]
Tree stump : 38867 :[Inspect, null, null, null, null]
Tree stump : 38868 :[Inspect, null, null, null, null]
Tree stump : 38869 :[Inspect, null, null, null, null]
Tree : 38870 :[Inspect, null, null, null, null]
Tree stump : 38871 :[Inspect, null, null, null, null]
Tree : 38872 :[Inspect, null, null, null, null]
Tree : 38874 :[Inspect, null, null, null, null]
Tree : 38875 :[Inspect, null, null, null, null]
Tree stump : 38877 :[Inspect, null, null, null, null]
Tree : 38878 :[Inspect, null, null, null, null]
Tree stump : 38879 :[Inspect, null, null, null, null]
Tree : 38880 :[Inspect, null, null, null, null]
Tree : 38881 :[Inspect, null, null, null, null]
Tree : 38883 :[Inspect, null, null, null, null]
Tree : 38884 :[Inspect, null, null, null, null]
Tree : 38886 :[Inspect, null, null, null, null]
Tree : 38887 :[Inspect, null, null, null, null]
Tree : 38888 :[Inspect, null, null, null, null]
Tree : 38889 :[Inspect, null, null, null, null]
Tree : 38892 :[Inspect, null, null, null, null]
Tree : 38895 :[Inspect, null, null, null, null]
Tree : 38896 :[Inspect, null, null, null, null]
Tree : 38897 :[Inspect, null, null, null, null]
Tree : 38898 :[Inspect, null, null, null, null]
Tree stump : 38899 :[Inspect, null, null, null, null]
Tree : 38900 :[Inspect, null, null, null, null]
Tree stump : 38909 :[Inspect, null, null, null, null]
Tree : 38910 :[Inspect, null, null, null, null]
Tree : 38911 :[Inspect, null, null, null, null]
Tree : 38912 :[Inspect, null, null, null, null]
Tree : 38914 :[Inspect, null, null, null, null]
Tree : 39090 :[null, null, null, null, null]
Tree : 39097 :[null, null, null, null, null]
Tree : 39100 :[null, null, null, null, null]
Tree : 39119 :[null, null, null, null, null]
Tree : 39121 :[null, null, null, null, null]
Tree : 39136 :[null, null, null, null, null]
Tree : 39137 :[null, null, null, null, null]
Tree : 39138 :[null, null, null, null, null]
Tree : 39145 :[null, null, null, null, null]
Tree : 39154 :[null, null, null, null, null]
Tree : 39166 :[null, null, null, null, null]
Tree : 39168 :[null, null, null, null, null]
Tree : 39328 :[Chop down, Talk to, null, null, null]
Tree : 39430 :[null, null, null, null, null]
Tree (class 5) : 39586 :[Collect, null, null, null, null]
Tree (class 4) : 39587 :[Collect, null, null, null, null]
Tree (class 3) : 39588 :[Collect, null, null, null, null]
Tree (class 2) : 39589 :[Collect, null, null, null, null]
Tree (class 5) : 39590 :[Collect, null, null, null, null]
Tree (class 4) : 39591 :[Collect, null, null, null, null]
Tree (class 3) : 39592 :[Collect, null, null, null, null]
Tree (class 2) : 39593 :[Collect, null, null, null, null]
Tree (empty) : 39594 :[null, null, null, null, null]
Tree (empty) : 39595 :[null, null, null, null, null]
Tree (empty) : 39596 :[null, null, null, null, null]
Tree (empty) : 39597 :[null, null, null, null, null]
Tree : 40196 :[null, null, null, null, null]
Tree : 40294 :[null, null, null, null, null]
Tree : 40295 :[null, null, null, null, null]
Tree : 40296 :[null, null, null, null, null]
Tree : 40297 :[null, null, null, null, null]
Tree : 40298 :[null, null, null, null, null]
Tree : 40299 :[null, null, null, null, null]
Tree : 40300 :[null, null, null, null, null]
Tree : 40301 :[null, null, null, null, null]
Tree : 40302 :[null, null, null, null, null]
Tree : 40303 :[null, null, null, null, null]
Tree : 40312 :[null, null, null, null, null]
Tree : 40313 :[null, null, null, null, null]
Tree : 40318 :[null, null, null, null, null]
Tree : 40320 :[null, null, null, null, null]
Tree : 40345 :[null, null, null, null, null]
Tree : 40346 :[null, null, null, null, null]
Tree : 40347 :[null, null, null, null, null]
Tree : 40348 :[null, null, null, null, null]
Tree : 40349 :[null, null, null, null, null]
Tree stump : 40350 :[null, null, null, null, null]
Tree stump : 40351 :[null, null, null, null, null]
Tree stump : 40352 :[null, null, null, null, null]
Tree stump : 40353 :[null, null, null, null, null]
Tree stump : 40354 :[null, null, null, null, null]
Tree stump : 40355 :[null, null, null, null, null]
Tree stump : 40356 :[null, null, null, null, null]
Tree stump : 40357 :[null, null, null, null, null]
Slimy tree : 41695 :[null, null, null, null, null]
Dead tree : 41713 :[Chop down, null, null, null, null]
Burning tree : 41857 :[null, null, null, null, null]
Burning tree : 41858 :[null, null, null, null, null]
Burning tree : 41859 :[null, null, null, null, null]
Tree : 41860 :[null, null, null, null, null]
Cinnamon tree : 41903 :[Harvest-twigs, null, null, null, null]
Sassafras tree : 41904 :[Harvest-twigs, null, null, null, null]
Ailanthus tree : 41905 :[Harvest-twigs, null, null, null, null]
Cedar tree : 41906 :[Harvest-twigs, null, null, null, null]
Mastic tree : 41907 :[Harvest-twigs, null, null, null, null]
Burning tree : 42134 :[null, null, null, null, null]
Burning tree : 42135 :[null, null, null, null, null]
A burnt tree : 42137 :[null, null, null, null, null]
Slimy tree : 42303 :[null, null, null, null, null]
Slimy tree : 42304 :[null, null, null, null, null]
Tree stump : 42860 :[null, null, null, null, null]
Dead tree covered in snow : 42893 :[Chop down, null, null, null, null]
Tree Stump : 43493 :[null, null, null, null, null]
Tree : 43528 :[Climb-up, null, null, null, null]
Tree top : 43547 :[null, null, null, null, null]
Tree : 43548 :[null, null, null, null, null]
Tree top : 43549 :[null, null, null, null, null]
Tree : 43550 :[null, null, null, null, null]
Tree : 43551 :[null, null, null, null, null]
Tree : 43552 :[null, null, null, null, null]
Tree root : 45587 :[null, null, null, null, null]
Tree root : 45588 :[Chop, null, null, null, null]
Tree root : 45590 :[null, null, null, null, null]
Tree root : 45591 :[Chop, null, null, null, null]
Tree root : 45593 :[null, null, null, null, null]
Tree root : 45594 :[Chop, null, null, null, null]
Tree : 46276 :[null, null, null, null, null]
Maple tree : 46277 :[Chop down, null, null, null, null]
Tree stump : 46326 :[null, null, null, null, null]
Crystal tree : 46510 :[null, null, null, null, null]
Dead tree : 46757 :[null, null, null, null, null]
Dead tree : 46758 :[null, null, null, null, null]
Dead tree : 46759 :[null, null, null, null, null]
Dead tree : 46760 :[null, null, null, null, null]
Dead tree : 46761 :[null, null, null, null, null]
Dead tree : 46762 :[null, null, null, null, null]
Dead tree : 46763 :[null, null, null, null, null]
Dead tree : 46764 :[null, null, null, null, null]
Dead tree : 47594 :[Chop down, null, null, null, null]
Tree stump : 47595 :[null, null, null, null, null]
Dead tree : 47596 :[Chop down, null, null, null, null]
Tree stump : 47597 :[null, null, null, null, null]
Dead tree : 47598 :[Chop down, null, null, null, null]
Tree stump : 47599 :[null, null, null, null, null]
Dead tree : 47600 :[Chop down, null, null, null, null]
Tree stump : 47601 :[null, null, null, null, null]
Christmas tree : 47748 :[null, null, null, null, null]
Tree : 47755 :[null, null, null, null, null]
Fallen tree : 49213 :[null, null, null, null, null]
Spirit tree : 49220 :[Talk-to, Teleport, null, null, null]
Spirit tree : 49227 :[Talk-to, Teleport, null, null, null]
Tangle gum tree : 49705 :[Chop, null, null, null, null]
Seeping elm tree : 49707 :[Chop, null, null, null, null]
Blood spindle tree : 49709 :[Chop, null, null, null, null]
Utuku tree : 49711 :[Chop, null, null, null, null]
Spinebeam tree : 49713 :[Chop, null, null, null, null]
Bovistrangler tree : 49715 :[Chop, null, null, null, null]
Thigat tree : 49717 :[Chop, null, null, null, null]
Corpsethorn tree : 49719 :[Chop, null, null, null, null]
Entgallow tree : 49721 :[Chop, null, null, null, null]
Grave creeper tree : 49723 :[Chop, null, null, null, null]
Tangle gum tree : 49725 :[Chop, null, null, null, null]
Seeping elm tree : 49727 :[Chop, null, null, null, null]
Blood spindle tree : 49729 :[Chop, null, null, null, null]
Utuku tree : 49731 :[Chop, null, null, null, null]
Spinebeam tree : 49733 :[Chop, null, null, null, null]
Bovistrangler tree : 49735 :[Chop, null, null, null, null]
Thigat tree : 49737 :[Chop, null, null, null, null]
Corpsethorn tree : 49739 :[Chop, null, null, null, null]
Entgallow tree : 49741 :[Chop, null, null, null, null]
Grave creeper tree : 49743 :[Chop, null, null, null, null]
Tangle gum tree : 49745 :[Chop, null, null, null, null]
Seeping elm tree : 49747 :[Chop, null, null, null, null]
Blood spindle tree : 49749 :[Chop, null, null, null, null]
Utuku tree : 49751 :[Chop, null, null, null, null]
Spinebeam tree : 49753 :[Chop, null, null, null, null]
Bovistrangler tree : 49755 :[Chop, null, null, null, null]
Thigat tree : 49757 :[Chop, null, null, null, null]
Corpsethorn tree : 49759 :[Chop, null, null, null, null]
Entgallow tree : 49761 :[Chop, null, null, null, null]
Grave creeper tree : 49763 :[Chop, null, null, null, null]
Tree : 49900 :[null, null, null, null, null]
Tree : 51668 :[null, null, null, null, null]
Magic tree : 51833 :[null, null, null, null, null]
Maple Tree : 51843 :[Chop down, null, null, null, null]
Swaying tree : 52551 :[null, null, null, null, null]
Mango tree : 52612 :[Pick-fruit, null, null, null, null]
Fairy tree : 52617 :[Look-through, Squeeze-past, null, null, null]
Fairy tree : 52618 :[Squeeze-past, null, null, null, null]
Fairy tree : 52619 :[null, null, null, null, null]
Burning tree : 52716 :[null, null, null, null, null]
Burning tree : 52717 :[null, null, null, null, null]
Dead tree : 52786 :[null, null, null, null, Remove]
Swamp tree : 53055 :[null, null, null, null, null]
Swamp tree : 53065 :[null, null, null, null, null]
Tangle gum tree : 53751 :[Chop, null, null, null, null]
Seeping elm tree : 53753 :[Chop, null, null, null, null]
Blood spindle tree : 53755 :[Chop, null, null, null, null]
Utuku tree : 53757 :[Chop, null, null, null, null]
Spinebeam tree : 53759 :[Chop, null, null, null, null]
Bovistrangler tree : 53761 :[Chop, null, null, null, null]
Thigat tree : 53763 :[Chop, null, null, null, null]
Corpsethorn tree : 53765 :[Chop, null, null, null, null]
Entgallow tree : 53767 :[Chop, null, null, null, null]
Grave creeper tree : 53769 :[Chop, null, null, null, null]
Tree : 54755 :[null, null, null, null, null]
Tree Stump : 54766 :[null, null, null, null, null]
Tree Stump : 54783 :[null, null, null, null, null]
Swamp tree : 54801 :[null, null, null, null, null]
Tangle gum tree : 55494 :[Chop, null, null, null, null]
Seeping elm tree : 55496 :[Chop, null, null, null, null]
Blood spindle tree : 55498 :[Chop, null, null, null, null]
Utuku tree : 55500 :[Chop, null, null, null, null]
Spinebeam tree : 55502 :[Chop, null, null, null, null]
Bovistrangler tree : 55504 :[Chop, null, null, null, null]
Thigat tree : 55506 :[Chop, null, null, null, null]
Corpsethorn tree : 55508 :[Chop, null, null, null, null]
Entgallow tree : 55510 :[Chop, null, null, null, null]
Grave creeper tree : 55512 :[Chop, null, null, null, null]
Christmas tree : 56933 :[null, null, null, null, null]
Season Tree : 57441 :[Inspect, null, null, null, null]
Tree Stump : 57931 :[null, null, null, null, null]
Swamp tree : 58108 :[Chop down, null, null, null, null]
Swamp tree : 58109 :[Chop down, null, null, null, null]
Swamp tree : 58121 :[Chop down, null, null, null, null]
Tree stump : 58131 :[null, null, null, null, null]
Tree stump : 58132 :[null, null, null, null, null]
Tree stump : 58134 :[null, null, null, null, null]
